countries,decomposition,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Canada,One person households,31.59,29.07,23.21,24.23,26.56,23.13,22.32,21.35,22.03,21.16,21.0,20.23,,,,27.6,28.03,26.8,26.85,26.36,28.9,29.57,28.42,29.17,29.76,29.97,30.5,32.41,28.42,28.99,29.93,32.92,32.27,31.89,32.26,30.94,29.02,29.4,,,
Canada,Couples without children,7.55,6.8,7.26,7.48,7.42,7.01,6.13,6.79,6.1,7.3,5.98,6.26,,,,7.0,6.46,7.05,7.8,7.56,6.9,7.8,6.85,6.98,7.41,7.66,7.19,7.16,7.81,6.99,6.62,9.0,6.73,8.39,7.39,7.71,5.3,6.81,,,
Canada,Couples with children,10.04,9.48,10.28,9.82,9.08,9.26,9.73,10.19,9.65,10.14,10.36,10.6,,,,9.46,10.5,10.75,9.61,9.98,10.6,10.51,9.9,9.65,10.68,10.84,10.06,9.51,12.42,12.86,10.9,11.77,9.45,8.95,9.01,7.64,4.92,5.87,,,
Canada,Single parents,52.68,51.75,49.34,52.39,51.76,45.48,50.96,51.54,45.93,45.85,46.56,47.64,,,,41.76,39.97,39.96,44.74,45.83,43.96,41.09,36.29,39.75,36.39,32.85,35.06,37.89,40.93,43.2,43.38,41.21,40.56,32.76,37.7,32.44,24.68,27.43,,,
Canada,Other family / non-family households,6.97,6.18,8.31,7.59,7.33,7.16,8.21,6.82,7.99,7.27,7.17,6.81,,,,7.12,7.3,6.95,8.37,8.68,8.29,7.12,7.48,6.82,7.54,8.06,8.69,7.11,9.31,9.66,8.65,10.23,7.85,8.62,8.01,8.02,4.27,5.47,,,
Taiwan,One person households,,,,,,,,,,,,44.38,,32.38,,,33.49,,,,,35.16,,36.55,,,38.62,,,39.46,,,33.12,35.54,35.67,35.37,34.94,32.59,,,
Taiwan,Couples without children,,,,,,,,,,,,40.07,,28.3,,,27.8,,,,,31.2,,30.25,,,31.62,,,27.93,,,25.35,25.86,28.22,27.53,26.97,29.52,,,
Taiwan,Couples with children,,,,,,,,,,,,4.79,,4.96,,,4.68,,,,,5.09,,5.34,,,6.48,,,5.39,,,5.2,6.21,4.65,4.08,3.96,3.37,,,
Taiwan,Single parents,,,,,,,,,,,,24.25,,25.04,,,16.43,,,,,20.66,,23.93,,,21.74,,,22.56,,,18.77,27.9,19.2,19.88,13.34,14.09,,,
Taiwan,Other family / non-family households,,,,,,,,,,,,6.38,,6.72,,,6.68,,,,,6.43,,7.24,,,8.74,,,7.51,,,6.53,6.9,6.79,7.27,6.16,6.7,,,
Denmark,One person households,,,,26.3,,,,,21.1,,,18.76,,,,,18.3,,,,16.93,,,17.36,,,17.28,,,15.94,,21.1,21.07,21.21,20.98,21.09,20.96,20.93,20.43,,
Denmark,Couples without children,,,,10.82,,,,,2.94,,,2.71,,,,,3.08,,,,2.62,,,3.41,,,2.84,,,2.71,,2.92,3.06,2.91,2.78,2.8,2.83,2.69,2.78,,
Denmark,Couples with children,,,,3.54,,,,,2.79,,,1.9,,,,,1.75,,,,2.58,,,2.85,,,2.76,,,2.11,,2.97,3.22,3.34,3.44,3.21,2.96,2.77,2.91,,
Denmark,Single parents,,,,5.9,,,,,11.41,,,6.18,,,,,7.01,,,,8.29,,,10.29,,,9.56,,,7.94,,9.78,10.37,13.03,13.03,13.01,13.63,13.85,16.15,,
Denmark,Other family / non-family households,,,,4.59,,,,,3.32,,,1.76,,,,,2.31,,,,3.04,,,4.43,,,5.42,,,5.02,,3.68,3.45,3.61,3.57,3.53,3.48,3.1,3.18,,
France,One person households,13.87,,,,,,14.54,,,,,,16.0,16.17,16.64,16.37,15.99,15.59,16.08,16.36,16.42,15.97,16.16,16.24,16.25,16.47,15.89,16.28,15.58,13.22,14.38,13.94,14.83,15.24,15.26,16.0,14.45,16.01,16.52,,
France,Couples without children,5.77,,,,,,4.01,,,,,,4.69,4.62,4.09,4.22,3.91,4.02,4.23,3.59,3.84,4.3,3.51,3.62,3.97,4.05,4.11,3.87,3.99,3.68,3.23,3.66,3.71,3.6,3.68,3.3,3.16,3.79,3.84,,
France,Couples with children,6.62,,,,,,5.5,,,,,,7.63,7.7,7.06,6.63,6.76,6.79,6.1,6.65,6.14,6.08,5.72,5.72,5.66,6.24,6.39,6.62,7.05,7.24,6.62,7.03,6.68,6.66,6.89,6.77,6.24,6.69,6.55,,
France,Single parents,15.07,,,,,,26.62,,,,,,23.01,24.56,23.22,25.87,27.48,25.94,26.06,26.71,24.33,28.47,29.58,27.49,27.41,28.62,30.77,29.98,31.05,29.25,32.53,28.53,30.03,27.68,27.77,26.95,24.26,27.91,26.32,,
France,Other family / non-family households,7.91,,,,,,5.29,,,,,,8.0,6.96,6.23,6.76,6.37,5.79,5.37,5.03,5.77,6.19,6.9,7.28,6.64,6.96,7.33,7.53,7.58,7.13,8.0,7.53,7.76,7.03,7.37,7.51,6.61,8.06,7.41,,
Germany,One person households,17.93,17.41,17.93,17.64,16.4,16.31,18.73,20.66,19.81,17.69,18.66,16.35,16.85,16.79,15.97,16.62,16.69,16.52,17.4,17.21,16.52,18.15,17.96,19.06,20.7,19.88,21.01,19.86,19.87,20.06,20.15,20.86,20.82,21.74,21.32,23.5,23.9,23.63,22.7,,
Germany,Couples without children,5.85,4.28,3.97,5.31,4.53,4.74,4.17,6.04,5.12,4.66,4.33,4.03,3.79,3.17,2.7,4.3,4.15,4.45,4.56,4.55,3.88,4.72,5.35,4.89,4.88,4.97,5.77,5.21,5.35,4.92,5.02,5.22,4.72,5.42,4.96,6.06,7.2,6.61,6.1,,
Germany,Couples with children,4.35,3.18,3.2,3.95,3.41,2.56,3.53,3.97,4.07,3.16,5.23,4.68,4.14,3.57,3.43,3.48,4.2,3.85,3.74,4.26,3.98,5.17,3.9,3.81,4.2,5.26,4.57,3.88,4.21,4.24,5.46,5.59,5.5,6.55,6.11,6.99,5.74,6.79,9.02,,
Germany,Single parents,35.88,33.28,30.57,27.9,35.52,22.12,36.09,36.01,33.79,29.58,39.49,39.68,32.0,28.36,31.97,33.49,29.87,31.38,34.97,32.13,35.59,38.15,33.76,32.12,31.69,32.41,26.83,28.23,29.65,32.23,31.11,30.74,32.03,32.03,33.7,30.42,28.02,26.66,31.6,,
Germany,Other family / non-family households,4.17,4.79,3.2,3.29,4.3,3.17,2.61,2.6,3.36,2.66,2.79,2.83,3.03,2.3,3.95,3.41,3.58,2.95,2.98,3.68,4.54,3.82,6.53,3.57,3.66,4.26,3.76,2.7,5.16,4.48,4.76,5.35,5.96,6.0,5.85,6.89,8.25,9.38,10.43,,
Israel,One person households,,,,,,,,,,,,,,,,,,28.28,29.59,27.63,27.11,26.79,27.28,25.68,27.85,28.11,28.6,27.3,26.07,29.55,29.3,32.55,30.96,31.52,28.32,28.44,29.45,31.4,,,
Israel,Couples without children,,,,,,,,,,,,,,,,,,14.18,15.78,13.91,14.2,14.73,13.06,14.82,15.15,14.36,14.08,13.72,11.1,14.64,14.08,15.54,11.63,13.64,12.51,13.9,13.19,14.27,,,
Israel,Couples with children,,,,,,,,,,,,,,,,,,15.51,17.75,19.07,21.88,20.99,23.06,21.7,21.09,22.68,22.12,21.17,21.41,19.74,21.63,22.21,20.22,20.03,18.13,19.74,18.08,18.93,,,
Israel,Single parents,,,,,,,,,,,,,,,,,,34.69,32.75,32.24,36.46,40.3,36.28,32.56,30.77,34.31,36.06,32.91,37.03,32.83,33.18,31.13,32.11,29.62,36.97,27.1,25.68,25.85,,,
Israel,Other family / non-family households,,,,,,,,,,,,,,,,,,9.74,9.01,10.9,11.98,12.67,10.01,9.42,10.57,10.53,13.4,14.86,12.61,11.25,11.07,11.14,13.1,12.13,11.78,11.6,14.26,12.77,,,
Luxembourg,One person households,,13.41,13.13,13.6,13.93,12.81,12.24,12.7,11.86,10.66,10.42,9.64,11.07,9.03,10.29,7.24,6.84,8.45,7.98,9.29,9.63,11.85,9.24,10.54,10.96,8.78,10.2,9.05,10.57,10.82,12.38,15.25,17.73,16.65,16.62,12.75,8.33,12.7,12.73,12.91,
Luxembourg,Couples without children,,6.35,5.81,5.99,6.34,4.88,4.59,4.0,4.63,5.42,6.1,4.86,3.46,4.06,2.97,4.54,3.81,4.13,4.74,4.87,5.05,3.68,3.12,2.99,3.2,2.94,1.46,2.18,2.93,3.8,3.78,5.95,6.18,4.77,4.36,4.95,3.7,5.77,5.95,4.36,
Luxembourg,Couples with children,,5.46,7.48,5.34,4.15,3.81,4.01,3.7,5.31,2.69,8.54,7.42,9.7,7.99,7.8,9.0,7.47,6.16,6.14,9.07,8.53,9.42,7.62,5.78,8.76,9.57,6.6,8.95,8.67,7.62,6.14,9.59,8.02,7.47,10.22,7.62,6.89,7.83,5.76,11.04,
Luxembourg,Single parents,,17.47,30.94,14.51,19.83,23.27,31.32,31.45,20.52,14.62,36.77,28.64,23.69,24.89,29.78,21.9,29.18,24.82,23.9,36.96,30.92,41.9,38.43,45.22,39.58,29.6,38.48,33.89,37.82,35.54,32.43,40.43,37.99,40.71,36.23,35.64,38.53,25.89,30.9,22.87,
Luxembourg,Other family / non-family households,,2.05,1.62,1.11,1.57,1.6,0.957,1.85,1.37,0.686,2.4,2.02,3.4,3.82,2.91,2.65,2.82,3.12,4.04,4.51,3.59,3.63,2.6,4.66,4.05,4.78,3.23,4.03,4.36,5.47,5.07,4.65,6.85,7.64,7.3,7.16,7.59,8.09,6.72,4.31,
Mexico,One person households,36.82,,,,,28.04,,,24.58,,29.81,,25.31,,27.51,,26.01,,30.81,,30.43,16.96,15.33,,16.11,,19.59,,16.71,,15.96,,17.78,,18.34,,15.89,,15.76,,
Mexico,Couples without children,24.67,,,,,21.12,,,20.63,,21.02,,18.51,,21.32,,20.35,,22.74,,23.68,18.74,18.89,,21.79,,19.12,,20.78,,18.72,,19.11,,19.3,,17.82,,14.6,,
Mexico,Couples with children,19.28,,,,,20.14,,,20.57,,22.38,,20.53,,24.0,,22.79,,22.12,,20.3,20.73,19.44,,23.78,,23.35,,24.39,,20.0,,20.38,,19.69,,20.93,,19.34,,
Mexico,Single parents,24.95,,,,,20.86,,,21.21,,24.57,,20.41,,25.04,,21.99,,25.44,,28.13,22.07,19.43,,24.72,,20.77,,21.48,,24.72,,21.79,,23.1,,23.23,,20.64,,
Mexico,Other family / non-family households,15.73,,,,,15.92,,,15.73,,17.76,,17.55,,18.24,,19.2,,15.3,,13.88,16.51,14.45,,15.84,,14.7,,13.89,,13.49,,12.9,,12.34,,13.0,,11.85,,
Netherlands,One person households,,,,,,,12.01,,,13.54,,,,,,9.09,,,,,9.7,10.93,9.63,10.61,13.56,12.79,12.11,14.09,14.9,15.54,13.59,15.81,16.15,16.99,16.97,17.16,22.48,23.28,,,
Netherlands,Couples without children,,,,,,,4.09,,,5.18,,,,,,2.8,,,,,2.63,1.77,2.62,1.8,2.24,1.61,1.62,1.83,2.21,3.55,2.6,2.87,3.44,4.16,4.18,4.59,5.11,5.46,,,
Netherlands,Couples with children,,,,,,,5.67,,,6.68,,,,,,3.1,,,,,7.15,5.45,4.52,3.21,3.99,4.46,2.78,3.98,3.79,3.17,4.21,4.73,5.34,5.49,4.97,5.3,4.92,5.75,,,
Netherlands,Single parents,,,,,,,27.61,,,22.31,,,,,,33.48,,,,,17.75,23.97,26.29,18.47,17.47,19.04,23.17,20.41,12.39,13.93,14.03,20.0,24.57,18.26,18.93,21.75,27.84,24.45,,,
Netherlands,Other family / non-family households,,,,,,,3.92,,,12.05,,,,,,2.8,,,,,3.23,3.97,4.65,7.15,4.8,3.21,5.01,4.86,4.05,5.45,5.04,5.04,5.0,5.01,4.42,3.88,3.19,3.52,,,
Norway,One person households,,,31.76,,,,,23.18,,,,25.07,,,,,22.97,,,,22.57,,,25.33,,,24.3,,,21.82,,,21.96,,,22.05,21.9,21.2,20.59,,
Norway,Couples without children,,,4.55,,,,,1.2,,,,2.68,,,,,1.96,,,,2.29,,,1.86,,,2.24,,,2.8,,,2.94,,,2.98,3.04,2.69,3.03,,
Norway,Couples with children,,,1.85,,,,,1.87,,,,2.13,,,,,1.84,,,,2.84,,,2.81,,,2.86,,,3.77,,,4.23,,,4.06,3.96,3.32,3.63,,
Norway,Single parents,,,18.81,,,,,20.28,,,,12.67,,,,,9.66,,,,13.36,,,15.24,,,14.46,,,19.2,,,21.12,,,23.43,23.01,21.97,22.15,,
Norway,Other family / non-family households,,,2.47,,,,,1.67,,,,1.39,,,,,2.39,,,,2.47,,,2.59,,,3.12,,,3.54,,,3.68,,,3.55,3.65,3.37,4.03,,
Poland,One person households,,,,,,,,,,,,10.36,,,,8.66,,,,,8.16,8.14,9.21,11.37,14.67,14.32,13.95,14.25,13.48,12.94,12.82,13.53,15.04,18.21,19.52,21.01,20.14,20.36,22.17,23.28,
Poland,Couples without children,,,,,,,,,,,,4.82,,,,2.98,,,,,4.3,3.98,4.1,4.62,4.45,4.45,4.24,4.38,4.75,4.85,5.12,4.67,5.12,5.7,5.42,5.17,5.71,5.42,5.81,5.51,
Poland,Couples with children,,,,,,,,,,,,13.28,,,,11.01,,,,,14.86,14.2,12.43,10.72,10.25,11.41,11.2,10.97,11.41,11.04,10.94,10.76,7.08,4.78,5.86,6.45,8.94,10.82,10.74,11.01,
Poland,Single parents,,,,,,,,,,,,17.13,,,,19.51,,,,,18.8,19.67,21.3,18.73,20.4,17.94,19.0,20.86,20.73,24.74,23.16,24.47,16.19,10.52,12.07,14.93,15.6,19.65,21.13,18.78,
Poland,Other family / non-family households,,,,,,,,,,,,11.13,,,,6.84,,,,,8.2,7.57,7.69,7.24,7.83,8.28,7.88,9.01,9.16,9.47,8.94,9.1,8.21,7.33,7.1,7.74,8.1,8.81,8.92,8.27,
Spain,One person households,,,,,,,19.71,,,16.03,14.39,10.73,12.1,12.43,14.71,21.0,30.75,,,,22.81,26.31,23.48,27.82,26.43,25.83,18.85,17.15,16.74,17.9,17.76,17.07,19.73,16.29,17.21,18.43,19.58,19.28,21.43,,
Spain,Couples without children,,,,,,,14.52,,,11.95,11.16,9.34,10.18,14.9,18.43,20.88,18.79,,,,15.44,15.61,13.39,13.19,12.85,12.29,11.31,10.32,8.22,8.09,7.59,8.99,10.39,11.5,10.8,10.08,11.05,11.33,9.57,,
Spain,Couples with children,,,,,,,9.85,,,15.78,15.94,15.42,19.72,16.75,17.81,17.3,17.38,,,,15.44,16.29,15.09,16.02,17.06,18.08,15.69,18.43,18.68,20.19,19.21,18.37,18.41,16.13,15.35,15.26,16.99,15.79,15.54,,
Spain,Single parents,,,,,,,23.96,,,24.04,27.9,31.12,32.03,33.21,41.08,48.64,39.5,,,,34.08,26.2,27.9,38.1,38.06,44.55,46.44,32.64,38.65,39.96,40.99,42.17,41.63,42.16,37.74,40.56,45.13,40.51,41.58,,
Spain,Other family / non-family households,,,,,,,6.82,,,9.79,8.89,8.5,10.14,9.25,9.31,7.49,6.91,,,,12.22,12.0,10.24,9.17,8.97,9.29,10.58,10.79,10.56,12.75,12.48,13.08,12.96,12.45,11.83,12.91,11.55,10.62,9.03,,
Sweden,One person households,,,,17.05,,,,,18.09,,,17.77,,,,,14.56,15.94,14.51,13.02,13.81,14.29,15.38,18.84,20.18,20.59,21.23,20.88,21.14,22.47,23.49,22.74,23.38,22.97,20.28,20.65,20.32,20.4,,,
Sweden,Couples without children,,,,2.12,,,,,1.36,,,1.27,,,,,2.37,2.31,1.97,1.97,2.06,2.05,2.51,2.57,2.81,2.97,3.3,3.7,3.07,3.08,3.31,3.9,2.64,3.76,3.69,4.5,3.1,3.29,,,
Sweden,Couples with children,,,,2.72,,,,,2.53,,,1.55,,,,,2.27,2.95,3.11,2.81,3.33,3.34,3.6,4.93,4.48,5.24,5.33,5.85,4.8,6.45,4.99,5.72,5.49,6.66,7.45,6.33,5.66,5.79,,,
Sweden,Single parents,,,,4.51,,,,,4.74,,,6.79,,,,,10.11,7.34,8.61,8.62,8.63,9.69,10.43,12.75,18.71,18.41,20.83,23.93,22.38,25.06,26.2,20.49,23.52,23.4,19.44,17.19,18.7,17.62,,,
Sweden,Other family / non-family households,,,,,,,,,,,,,,,,,2.31,1.87,2.45,1.98,2.25,2.71,2.52,3.69,3.35,3.73,3.37,3.79,3.81,5.55,6.19,3.38,6.36,5.0,2.55,6.25,8.09,9.52,,,
United Kingdom,One person households,12.51,14.56,16.61,20.91,28.03,28.07,31.4,33.12,25.55,20.48,21.02,20.74,22.04,21.81,21.95,22.16,22.74,21.46,20.66,20.38,18.88,18.61,20.15,20.56,18.96,17.8,17.95,17.79,17.19,18.76,18.69,18.3,18.95,20.06,19.3,22.04,18.98,20.41,,,
United Kingdom,Couples without children,3.41,4.25,4.58,7.52,10.88,9.29,10.97,11.72,7.5,8.5,7.79,7.23,7.45,8.09,8.75,8.27,8.56,8.61,8.48,7.65,7.04,6.99,8.11,7.88,7.2,6.37,6.53,6.1,6.6,5.94,6.14,6.99,6.31,6.91,6.87,6.96,7.71,7.91,,,
United Kingdom,Couples with children,4.55,5.46,6.15,6.95,8.55,8.67,9.34,9.2,10.19,9.9,9.82,9.25,9.29,9.5,9.67,9.32,8.0,7.68,7.86,7.71,6.55,7.38,7.68,8.16,7.73,8.3,6.76,6.17,6.46,6.55,6.98,7.03,7.69,7.65,7.58,8.65,6.73,6.93,,,
United Kingdom,Single parents,19.32,18.36,23.69,32.51,46.56,44.69,51.0,47.23,48.14,47.06,31.46,35.63,44.85,45.39,47.15,47.01,42.86,41.2,33.34,32.02,28.95,28.45,29.72,28.74,27.84,21.55,17.38,16.52,16.68,15.11,18.84,19.36,20.92,24.62,21.2,25.58,16.22,22.11,,,
United Kingdom,Other family / non-family households,1.41,1.33,1.82,3.38,3.71,3.85,5.82,6.53,7.86,5.69,4.27,5.04,3.95,4.23,3.67,4.41,5.41,4.57,6.03,5.21,4.42,5.33,5.65,6.45,5.44,5.09,6.42,4.98,5.53,4.96,4.95,5.45,5.28,5.32,5.84,5.81,5.3,5.48,,,
United States,One person households,25.9,26.25,28.05,28.77,27.97,27.15,26.72,26.76,27.15,26.1,26.6,26.55,26.23,27.75,28.06,28.33,29.3,28.62,30.13,31.07,30.17,30.06,28.94,30.66,29.37,26.91,28.57,28.69,28.64,30.01,28.41,28.64,31.01,31.12,32.9,33.11,31.48,33.51,31.49,31.37,
United States,Couples without children,9.79,10.06,9.37,10.1,9.97,10.82,9.34,8.86,9.68,9.35,9.25,9.28,9.29,9.17,9.94,9.96,10.53,10.85,10.6,11.16,11.02,10.65,11.2,10.96,9.79,9.46,9.87,9.56,9.88,10.04,10.17,9.58,10.81,11.11,11.54,10.76,10.22,11.34,12.13,11.37,
United States,Couples with children,14.59,13.81,13.69,13.22,12.66,13.23,12.54,12.59,12.67,12.53,12.46,11.43,11.51,11.78,12.1,12.4,11.99,12.45,12.99,12.82,11.04,10.92,10.67,11.74,12.07,10.08,10.93,10.41,10.96,10.23,10.31,10.53,11.48,12.16,11.47,12.18,10.14,6.81,12.19,12.29,
United States,Single parents,54.77,54.76,56.63,55.63,55.54,53.2,55.59,54.01,53.85,53.9,49.99,45.89,46.45,46.09,47.09,47.27,43.94,43.48,44.52,45.11,42.64,42.73,44.64,44.08,42.54,38.29,39.21,38.86,39.68,39.71,38.68,37.53,41.44,42.45,42.25,44.9,39.49,29.34,43.25,43.16,
United States,Other family / non-family households,15.63,15.38,15.79,16.3,15.52,15.36,14.31,15.89,16.19,16.18,15.08,15.52,16.16,15.66,15.57,15.7,15.39,15.13,15.65,15.6,15.8,16.37,16.41,16.83,16.66,15.85,16.24,16.03,16.62,16.68,15.14,14.7,15.74,15.14,16.14,16.06,14.13,13.64,15.46,15.85,
